scenario,method,p95_fct_ms,p99_fct_ms,mean_fct_ms,slo_violation_pct,link_utilization_pct,queue_occupancy_pct,packet_loss_pct,jain_fairness,route_churn_pct,intervention_success_pct,harmful_action_pct,rollback_pct,source_localization_pct,telemetry_overhead_pct,inference_latency_ms,counterfactual_mape_pct
fat_tree_allreduce,Twin-No-Causal,4.780947774660649,10.09440686335633,2.0554626023268185,1.6611111111111112,49.63533531519746,16.04070936637499,0.0057758812996980356,0.916361807985777,8.417777777777777,85.7916695888829,10.58382058940396,3.6245098217131444,85.21381721008042,2.1383812850976947,5.685666504731335,13.528231674110133
fat_tree_allreduce,CausalNetTwin,1.8963736856339337,2.4921231688399534,1.5792558151097649,0.061111111111111116,35.30168313330884,5.404408884972264,0.00024085617415601842,0.9309036250304025,4.108,99.44692683195201,0.03272894468432404,0.5203442233636538,93.95640618180684,2.6386889298988243,7.1959360608731,7.732804595493695
oversubscribed_multi_tenant,ECMP,24.136344867099297,24.389190494955482,10.768384907593394,50.02777777777778,90.20322422394273,68.11513208346693,0.3343041023037709,0.8742808577304705,0.0,0.0,0.0,0.0,0.0,0.3549786564083684,0.20244393697013546,
oversubscribed_multi_tenant,Static-TE,20.57201242567445,27.050763559527425,8.215321402312464,38.35555555555556,87.91573155885223,60.68560109377965,0.1930282355493988,0.8819603675645167,3.769722222222222,82.28303105790627,17.716968942093732,0.0,82.28303105790627,0.5436481707227351,0.3976516011888385,
oversubscribed_multi_tenant,Correlation-ML,24.435395411787855,35.88114205336049,8.066851211780852,31.744444444444444,84.52230990051294,56.23509839145307,0.22046083930806795,0.8733361178455833,16.92888888888889,72.13856390864797,27.861436091352026,0.0,72.13856390864797,1.4304458071994155,2.8936390756333092,22.346114406150395
oversubscribed_multi_tenant,DRL,18.430133053619127,30.37431271141106,5.575284039105797,18.744444444444447,76.4577864875413,44.41784339668303,0.11609961455731263,0.8785486177929724,21.444444444444446,79.30236690362486,20.697633096375153,0.0,79.30236690362486,1.7902101583940169,4.812515760487709,18.835500641470514
oversubscribed_multi_tenant,Twin-No-Causal,10.164898834143798,17.7361878731691,3.186104606376012,6.372222222222222,64.77811153508426,29.794809030289965,0.030296417021526485,0.8920185475145314,13.762666666666666,85.91275632200528,10.067560085288651,4.019683592706063,85.29074562922352,2.0863962866956025,5.686204922588135,13.580231520125665
oversubscribed_multi_tenant,CausalNetTwin,5.804752861734161,12.183742289131187,2.182365279623861,2.511111111111111,45.29575711410991,13.653773088476566,0.009622302580398052,0.8939913254361788,6.202222222222222,99.39283840136318,0.03680261970713468,0.5703589789296927,94.07815409835169,2.6701165861025387,7.195816592603693,7.91250308632409
link_failure,ECMP,22.170251457823728,23.836679937866375,8.482973529706117,37.727777777777774,85.74373573334805,60.1112376150569,0.22516317670053765,0.881649289526705,0.0,0.0,0.0,0.0,0.0,0.36746135665560364,0.19499296522094164,
link_failure,Static-TE,17.42546473044629,23.97284253901486,6.496040688238609,24.416666666666668,83.12652227014037,52.887470993557095,0.1275000358162284,0.8898001194082519,3.342222222222222,82.00585676490468,17.99414323509532,0.0,82.00585676490468,0.5476611277312105,0.46144113018522337,
link_failure,Correlation-ML,20.381752958282917,30.969032846459346,6.374215024990668,21.794444444444444,79.69721392590512,49.10479927895686,0.14875821629939254,0.8834949123031962,15.294444444444444,71.95708265145548,28.04291734854452,0.0,71.95708265145548,1.4669131133428859,2.9364426255987732,22.062546032959446
link_failure,DRL,15.22966711476371,25.687494881374523,4.564588139611862,12.705555555555556,72.21629364762448,39.02452505850298,0.07961018608594844,0.8896851702572093,19.47222222222222,78.87633842406711,21.123661575932896,0.0,78.87633842406711,1.77126416365183,4.729817280830806,18.491588640856595
link_failure,Twin-No-Causal,8.181274419174521,14.760746074824791,2.7407716142714853,3.661111111111111,61.223940667208204,26.01281212697632,0.01916895138070829,0.9032912221842845,12.57688888888889,85.64700232953861,10.475393428123477,3.8776042423379016,84.97880187074307,2.115265143682029,5.725772211471011,13.271449186882935
link_failure,CausalNetTwin,2.595789110916927,6.55624278509859,1.7479002894187847,0.46111111111111114,40.43367861265059,8.94390107417701,0.002038062068645821,0.9146822151687346,5.9688888888888885,99.44149898865771,0.03613244486238698,0.5223685664798976,94.10509994805258,2.63883917110281,7.174379837677919,7.498885882217497
